#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"12592131333";"28/06/2022 / 10:40:01";"GOLL4";"C";"1900";"0,00";"executada";"saída";"1900";"10,24";"-0,12";"-1,19";"-228,00"
"12592084927";"28/06/2022 / 10:30:01";"GOLL4";"V";"1900";"0,00";"executada";"entrada";"1900";"10,12";"-";"-";"-"
"12589569715";"27/06/2022 / 16:50:00";"GOLL4";"C";"1900";"0,00";"executada";"saída";"1900";"10,07";"0,03";"0,26";"50,00"
"12589045308";"27/06/2022 / 14:30:00";"GOLL4";"V";"1900";"0,00";"executada";"entrada";"1900";"10,10";"-";"-";"-"
"12588797783";"27/06/2022 / 13:31:14";"GOLL4";"C";"1900";"0,00";"executada";"saída";"1900";"10,08";"0,34";"3,27";"648,00"
"12588086588";"27/06/2022 / 10:30:01";"GOLL4";"V";"1900";"0,00";"executada";"entrada";"1900";"10,42";"-";"-";"-"
"12577835165";"24/06/2022 / 14:20:00";"GOLL4";"V";"1900";"0,00";"executada";"saída";"1900";"10,18";"-0,10";"-0,97";"-190,00"
"12576791208";"24/06/2022 / 12:40:00";"GOLL4";"C";"1900";"0,00";"executada";"entrada";"1900";"10,28";"-";"-";"-"
"12575937397";"24/06/2022 / 11:25:41";"GOLL4";"V";"1900";"0,00";"executada";"saída";"1900";"10,33";"0,31";"3,09";"589,00"
"12575564399";"24/06/2022 / 10:50:00";"GOLL4";"C";"1900";"0,00";"executada";"entrada";"1900";"10,02";"-";"-";"-"
"12569516046";"23/06/2022 / 11:50:01";"GOLL4";"C";"2000";"0,00";"executada";"saída";"2000";"9,93";"-0,09";"-0,88";"-174,00"
"12569310390";"23/06/2022 / 11:20:01";"GOLL4";"V";"2000";"0,00";"executada";"entrada";"2000";"9,84";"-";"-";"-"
"12569110925";"23/06/2022 / 11:00:02";"GOLL4";"C";"2000";"0,00";"executada";"saída";"2000";"9,93";"-0,11";"-1,10";"-216,00"
"12568995667";"23/06/2022 / 10:40:01";"GOLL4";"V";"2000";"0,00";"executada";"entrada";"2000";"9,82";"-";"-";"-"
"12566352747";"22/06/2022 / 15:40:04";"GOLL4";"V";"2000";"0,00";"executada";"saída";"2000";"9,94";"-0,06";"-0,60";"-120,00"
"12566204301";"22/06/2022 / 15:10:02";"GOLL4";"C";"2000";"0,00";"executada";"entrada";"2000";"10,00";"-";"-";"-"
"12565754715";"22/06/2022 / 13:32:30";"GOLL4";"V";"2000";"0,00";"executada";"saída";"2000";"10,12";"0,31";"3,20";"627,00"
"12565162315";"22/06/2022 / 10:40:03";"GOLL4";"C";"2000";"0,00";"executada";"entrada";"2000";"9,81";"-";"-";"-"
"12562196443";"21/06/2022 / 16:50:00";"GOLL4";"C";"1900";"0,00";"executada";"saída";"1900";"9,88";"0,15";"1,50";"285,00"
"12561417560";"21/06/2022 / 14:20:01";"GOLL4";"V";"1900";"0,00";"executada";"entrada";"1900";"10,03";"-";"-";"-"
"12560154340";"21/06/2022 / 11:00:02";"GOLL4";"C";"1900";"0,00";"executada";"saída";"1900";"10,17";"-0,04";"-0,43";"-83,00"
"12560017275";"21/06/2022 / 10:30:04";"GOLL4";"V";"1900";"0,00";"executada";"entrada";"1900";"10,13";"-";"-";"-"
"12557151698";"20/06/2022 / 16:40:01";"GOLL4";"V";"1900";"0,00";"executada";"saída";"1900";"10,07";"-0,20";"-1,95";"-380,00"
"12556691602";"20/06/2022 / 14:30:01";"GOLL4";"C";"1900";"0,00";"executada";"entrada";"1900";"10,27";"-";"-";"-"
"12556268381";"20/06/2022 / 13:10:01";"GOLL4";"C";"2000";"0,00";"executada";"saída";"2000";"10,10";"-0,20";"-1,98";"-392,00"
